Unnamed: 0,Unnamed: 1,blockNum,uniqueId,hash,from,to,value,erc721TokenId,erc1155Metadata,tokenId,asset,category,rawContract
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,10,0x550b4a,0xee9ef5e90148602cd2352c833d2cd9cb882f6ce77d68e1f5f0ed52fa1d59aca7:external,0xee9ef5e90148602cd2352c833d2cd9cb882f6ce77d68e1f5f0ed52fa1d59aca7,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,5000.0,,,,ETH,external,"{'value': '0x10f0cf064dd59200000', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,11,0x553663,0x023f338088c05590729352dd315e4e54b3c3c686d939180ab6a58eed2ac5c1ae:external,0x023f338088c05590729352dd315e4e54b3c3c686d939180ab6a58eed2ac5c1ae,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,10000.0,,,,ETH,external,"{'value': '0x21e19e0c9bab2400000', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,12,0x55daca,0x1903bf85ab8fe97a8d9d65a57dbc699801a728482aeab35cd52717110a5ab3f8:log:103,0x1903bf85ab8fe97a8d9d65a57dbc699801a728482aeab35cd52717110a5ab3f8,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,3600000.0,,,,EOS,erc20,"{'value': '0x02fa54641bae8aaa000000', 'address': '0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,13,0x55daca,0x1903bf85ab8fe97a8d9d65a57dbc699801a728482aeab35cd52717110a5ab3f8:external,0x1903bf85ab8fe97a8d9d65a57dbc699801a728482aeab35cd52717110a5ab3f8,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,14,0x56276a,0x8b8ffb6ecdd139b034890ab8113c7e00c2f540742eefd0756d5d4721c7b235b7:log:94,0x8b8ffb6ecdd139b034890ab8113c7e00c2f540742eefd0756d5d4721c7b235b7,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,400000.0,,,,EOSDAC,erc20,"{'value': '0x54b40b1f852bda000000', 'address': '0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,15,0x56276a,0x8b8ffb6ecdd139b034890ab8113c7e00c2f540742eefd0756d5d4721c7b235b7:external,0x8b8ffb6ecdd139b034890ab8113c7e00c2f540742eefd0756d5d4721c7b235b7,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,16,0x56278e,0x8caa174569526aba1952ecbbbaff908203e07015f615253bf156fe72fc1b3f8b:log:66,0x8caa174569526aba1952ecbbbaff908203e07015f615253bf156fe72fc1b3f8b,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,600000.0,,,,EOSDAC,erc20,"{'value': '0x7f0e10af47c1c7000000', 'address': '0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,17,0x56278e,0x8caa174569526aba1952ecbbbaff908203e07015f615253bf156fe72fc1b3f8b:external,0x8caa174569526aba1952ecbbbaff908203e07015f615253bf156fe72fc1b3f8b,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,18,0x5628ab,0x5a823fab0355d4fec5ed50f928e482f4efdcb3ef8b9c35129dd1678218ba5a8e:log:74,0x5a823fab0355d4fec5ed50f928e482f4efdcb3ef8b9c35129dd1678218ba5a8e,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,3000000.0,,,,EOSDAC,erc20,"{'value': '0x027b46536c66c8e3000000', 'address': '0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba', 'decimal': '0x12'}"
0x88e343f4599292c2cffe683c1bb93cd3480bdbab,19,0x5628ab,0x5a823fab0355d4fec5ed50f928e482f4efdcb3ef8b9c35129dd1678218ba5a8e:external,0x5a823fab0355d4fec5ed50f928e482f4efdcb3ef8b9c35129dd1678218ba5a8e,0x88e343f4599292c2cffe683c1bb93cd3480bdbab,0x7e9e431a0b8c4d532c745b1043c7fa29a48d4fba,0.0,,,,ETH,external,"{'value': '0x0', 'address': None, 'decimal': '0x12'}"
